LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit.Code,Unit,PowerCode.Code,PowerCode,Reference.Period.Code,Reference.Period,Value,Flag.Codes,Flags
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-03,Mar-2016,IDX,Index,0,Units,2015_100,2015=100,99,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-04,Apr-2016,IDX,Index,0,Units,2015_100,2015=100,102,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-05,May-2016,IDX,Index,0,Units,2015_100,2015=100,102.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-06,Jun-2016,IDX,Index,0,Units,2015_100,2015=100,103.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-07,Jul-2016,IDX,Index,0,Units,2015_100,2015=100,106.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-08,Aug-2016,IDX,Index,0,Units,2015_100,2015=100,105,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-09,Sep-2016,IDX,Index,0,Units,2015_100,2015=100,104.6,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-10,Oct-2016,IDX,Index,0,Units,2015_100,2015=100,104.1,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-11,Nov-2016,IDX,Index,0,Units,2015_100,2015=100,103.2,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2016-12,Dec-2016,IDX,Index,0,Units,2015_100,2015=100,100.3,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-01,Jan-2017,IDX,Index,0,Units,2015_100,2015=100,100.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-02,Feb-2017,IDX,Index,0,Units,2015_100,2015=100,102.4,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-03,Mar-2017,IDX,Index,0,Units,2015_100,2015=100,102,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-04,Apr-2017,IDX,Index,0,Units,2015_100,2015=100,99.9,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-05,May-2017,IDX,Index,0,Units,2015_100,2015=100,102.8,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-06,Jun-2017,IDX,Index,0,Units,2015_100,2015=100,104,"",""
NOR,Norway,CP010000,CPI: 01 - Food and non-Alcoholic beverages,IXOB,Index,M,Monthly,2017-07,Jul-2017,IDX,Index,0,Units,2015_100,2015=100,106.8,"",""
